,0,1,2,3,4,5,6
0,-17.0,-17.0,1.0,0.0,0.0,-110.0,-60.0
1,-8.5,-17.0,1.0,0.0,0.0,-110.0,-60.0
2,0.0,-17.0,1.0,0.0,0.0,-110.0,-60.0
3,8.5,-17.0,1.0,0.0,0.0,-110.0,-60.0
4,17.0,-17.0,1.0,0.0,0.0,-110.0,-60.0
5,-17.0,-8.5,1.0,0.0,0.0,-110.0,-60.0
6,-8.5,-8.5,1.0,0.0,0.0,-110.0,-60.0
7,0.0,-8.5,1.0,0.0,0.0,-110.0,-60.0
8,8.5,-8.5,1.0,0.0,0.0,-110.0,-60.0
9,17.0,-8.5,1.0,0.0,0.0,-110.0,-60.0
10,-17.0,0.0,1.0,0.0,0.0,-110.0,-60.0
11,-8.5,0.0,1.0,0.0,0.0,-110.0,-60.0
12,8.5,0.0,1.0,0.0,0.0,-110.0,-60.0
13,17.0,0.0,1.0,0.0,0.0,-110.0,-60.0
14,-17.0,8.5,1.0,0.0,0.0,-110.0,-60.0
15,-8.5,8.5,1.0,0.0,0.0,-110.0,-60.0
16,0.0,8.5,1.0,0.0,0.0,-110.0,-60.0
17,8.5,8.5,1.0,0.0,0.0,-110.0,-60.0
18,17.0,8.5,1.0,0.0,0.0,-110.0,-60.0
19,-17.0,17.0,1.0,0.0,0.0,-110.0,-60.0
20,-8.5,17.0,1.0,0.0,0.0,-110.0,-60.0
21,0.0,17.0,1.0,0.0,0.0,-110.0,-60.0
22,8.5,17.0,1.0,0.0,0.0,-110.0,-60.0
23,17.0,17.0,1.0,0.0,0.0,-110.0,-60.0
24,-17.0,-17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
25,-8.5,-17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
26,0.0,-17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
27,8.5,-17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
28,17.0,-17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
29,-17.0,-8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
30,-8.5,-8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
31,0.0,-8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
32,8.5,-8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
33,17.0,-8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
34,-17.0,0.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
35,-8.5,0.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
36,8.5,0.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
37,17.0,0.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
38,-17.0,8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
39,-8.5,8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
40,0.0,8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
41,8.5,8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
42,17.0,8.5,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
43,-17.0,17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
44,-8.5,17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
45,0.0,17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
46,8.5,17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
47,17.0,17.0,6.123233995736766e-17,1.0,0.0,-110.0,-60.0
48,-17.0,-17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
49,-8.5,-17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
50,0.0,-17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
51,8.5,-17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
52,17.0,-17.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
53,-17.0,-8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
54,-8.5,-8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
55,0.0,-8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
56,8.5,-8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
57,17.0,-8.5,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
58,-17.0,0.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
59,-8.5,0.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
60,8.5,0.0,-1.0,1.2246467991473532e-16,0.0,-110.0,-60.0
